水利種別(消火栓),水利種別(消火栓)名,市町村(消火栓)名,担当区内通番(消火栓),設置場所-1(消火栓),配管径,Ｘ座標(栓)(座標),Ｙ座標(栓)(座標),緯度(栓)(座標),経度(栓)(座標),備考
01,消火栓,彦根市,1519,彦根市肥田町　 ,150,1898170,-8896823,0351152044,1361230528,
01,消火栓,彦根市,1520,彦根市鳥居本町　 ,100,2567021,-8033853,0351631584,1361655956,
01,消火栓,彦根市,1521,彦根市鳥居本町　 ,100,2567980,-8019319,0351636300,1361656352,
01,消火栓,彦根市,1522,彦根市高宮町　 ,150,2342356,-8599619,0351328164,1361526460,
01,消火栓,彦根市,1523,彦根市平田町　 ,75,2246237,-8232708,0351527324,1361448804,
01,消火栓,彦根市,1524,彦根市後三条町　 ,75,2296048,-8206496,0351535790,1361508540,
01,消火栓,彦根市,1525,彦根市三津町　 ,150,1995242,-8820743,0351216668,1361308976,
01,消火栓,彦根市,1526,彦根市日夏町　 ,200,2078551,-8506867,0351358476,1361342204,
01,消火栓,彦根市,1527,彦根市高宮町　 ,150,2308864,-8458611,0351413956,1361513356,
01,消火栓,彦根市,1528,彦根市堀町　 ,100,2193441,-8521348,0351353688,1361427636,
01,消火栓,彦根市,1529,彦根市堀町　 ,75,2198984,-8531181,0351350493,1361429819,
01,消火栓,彦根市,1530,彦根市堀町　 ,75,2203045,-8525194,0351352432,1361431432,
01,消火栓,彦根市,1531,彦根市金剛寺町　 ,75,2208879,-8582096,0351333960,1361433684,
01,消火栓,彦根市,1532,彦根市森堂町　 ,150,2176653,-8568948,0351338253,1361420950,
01,消火栓,彦根市,1533,彦根市肥田町　 ,75,1927969,-8909072,0351148048,1361242300,
01,消火栓,彦根市,1534,彦根市後三条町　 ,75,2301402,-8208719,0351535064,1361510656,
01,消火栓,彦根市,1535,彦根市高宮町　 ,150,2339398,-8582433,0351333744,1361525308,
01,消火栓,彦根市,1536,彦根市日夏町　 ,200,2044196,-8527466,0351351816,1361328596,
01,消火栓,彦根市,1537,彦根市日夏町　 ,200,2058416,-8537195,0351348648,1361334212,
01,消火栓,彦根市,1538,彦根市日夏町　 ,100,2047772,-8538883,0351348108,1361330000,
